timestamp,pm2.5_lrapa,pm2.5_lrapa_std,pm2.5_cf1_raw,pm2.5_cf1_raw_std,pm2.5_alt,pm2.5_alt_a_std,pm2.5_atm,pm2.5_atm_a_std,n_sensors,snowdepth,temperature_f,temperature_c,dewpoint_f,dewpoint_c,humidity,pressure_hpa,wind_speed_knots,wind_speed_mph,wind_speed_mps,wind_direction,precipitation_in,precipitation_mm,visibility_miles,visibility_km,pm2.5_lrapa_regulatory,year,month,day,hour,dayofweek,dayofyear,week,season,is_weekend,wind_dir_sin,wind_dir_cos,pm2.5_lrapa_rolling_mean_3h,pm2.5_lrapa_rolling_std_3h,pm2.5_lrapa_rolling_mean_6h,pm2.5_lrapa_rolling_std_6h,pm2.5_lrapa_rolling_mean_12h,pm2.5_lrapa_rolling_std_12h,pm2.5_lrapa_rolling_mean_24h,pm2.5_lrapa_rolling_std_24h,temperature_f_rolling_mean_3h,temperature_f_rolling_std_3h,temperature_f_rolling_mean_6h,temperature_f_rolling_std_6h,temperature_f_rolling_mean_12h,temperature_f_rolling_std_12h,temperature_f_rolling_mean_24h,temperature_f_rolling_std_24h,humidity_rolling_mean_3h,humidity_rolling_std_3h,humidity_rolling_mean_6h,humidity_rolling_std_6h,humidity_rolling_mean_12h,humidity_rolling_std_12h,humidity_rolling_mean_24h,humidity_rolling_std_24h,pm2.5_lrapa_lag_1h,pm2.5_lrapa_lag_3h,pm2.5_lrapa_lag_6h,pm2.5_lrapa_lag_12h,pm2.5_lrapa_lag_24h,temperature_f_lag_1h,temperature_f_lag_3h,temperature_f_lag_6h,temperature_f_lag_12h,temperature_f_lag_24h,humidity_lag_1h,humidity_lag_3h,humidity_lag_6h,humidity_lag_12h,humidity_lag_24h,wind_speed_mph_lag_1h,wind_speed_mph_lag_3h,wind_speed_mph_lag_6h,wind_speed_mph_lag_12h,wind_speed_mph_lag_24h,pressure_hpa_lag_1h,pressure_hpa_lag_3h,pressure_hpa_lag_6h,pressure_hpa_lag_12h,pressure_hpa_lag_24h,event
2020-07-31 17:00:00-07:00,0.15166666666666664,0.15718161662885582,1.5583333333333333,0.3987670391533778,,,,,12,,85.0,29.444444444444443,53.0,11.666666666666666,33.57,1016.3,11.0,12.658579999999999,5.6588840000000005,250.0,0.0,0.0,10.0,16.0934,,2020,7,31,17,4,213,31,summer,0,-0.9396926207859084,-0.34202014332566855,0.15166666666666664,,0.15166666666666664,,0.15166666666666664,,0.15166666666666664,,85.0,,85.0,,85.0,,85.0,,33.57,,33.57,,33.57,,33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Farm Fire 2020
2020-07-31 18:00:00-07:00,0.15,0.23664319132398465,1.4583333333333333,0.6111960455210799,,,,,12,,78.0,25.555555555555557,54.0,12.222222222222221,43.3,1016.9,11.0,12.658579999999999,5.6588840000000005,260.0,0.0,0.0,10.0,16.0934,,2020,7,31,18,4,213,31,summer,0,-0.984807753012208,-0.17364817766693033,0.15083333333333332,0.0011785113019775672,0.15083333333333332,0.0011785113019775672,0.15083333333333332,0.0011785113019775672,0.15083333333333332,0.0011785113019775672,81.5,4.949747468305833,81.5,4.949747468305833,81.5,4.949747468305833,81.5,4.949747468305833,38.435,6.880148980945103,38.435,6.880148980945103,38.435,6.880148980945103,38.435,6.880148980945103,0.15166666666666664,,,,,85.0,,,,,33.57,,,,,12.658579999999999,,,,,1016.3,,,,,Holiday Farm Fire 2020
2020-07-31 19:00:00-07:00,0.011666666666666667,0.04041451884327381,0.65,0.3777926319123664,,,,,12,,74.0,23.333333333333332,55.0,12.777777777777779,51.64,1017.5,10.0,11.5078,5.14444,240.0,0.0,0.0,10.0,16.0934,,2020,7,31,19,4,213,31,summer,0,-0.8660254037844384,-0.5000000000000004,0.10444444444444444,0.08035223383006523,0.10444444444444444,0.08035223383006523,0.10444444444444444,0.08035223383006523,0.10444444444444444,0.08035223383006523,79.0,5.5677643628300215,79.0,5.5677643628300215,79.0,5.5677643628300215,79.0,5.5677643628300215,42.836666666666666,9.043905867120317,42.836666666666666,9.043905867120317,42.836666666666666,9.043905867120317,42.836666666666666,9.043905867120317,0.15,,,,,78.0,,,,,43.3,,,,,12.658579999999999,,,,,1016.9,,,,,Holiday Farm Fire 2020
2020-07-31 20:00:00-07:00,0.21999999999999997,0.762102355330306,0.9249999999999999,1.825638120070499,,,,,12,,71.0,21.666666666666668,54.0,12.222222222222221,54.73,1017.9,8.0,9.20624,4.115552,240.0,0.0,0.0,10.0,16.0934,,2020,7,31,20,4,213,31,summer,0,-0.8660254037844384,-0.5000000000000004,0.1272222222222222,0.10601799288241034,0.1333333333333333,0.08742192283742442,0.1333333333333333,0.08742192283742442,0.1333333333333333,0.08742192283742442,74.33333333333333,3.5118845842842448,77.0,6.0553007081949835,77.0,6.0553007081949835,77.0,6.0553007081949835,49.89000000000001,5.912537526307969,45.81,9.481086435635946,45.81,9.481086435635946,45.81,9.481086435635946,0.011666666666666667,0.15166666666666664,,,,74.0,85.0,,,,51.64,33.57,,,,11.5078,12.658579999999999,,,,1017.5,1016.3,,,,Holiday Farm Fire 2020
2020-07-31 21:00:00-07:00,0.42,1.454922678357857,1.2833333333333334,3.202508486493144,,,,,12,,68.0,20.0,55.0,12.777777777777779,63.12,1018.4,5.0,5.7539,2.57222,230.0,0.0,0.0,10.0,16.0934,,2020,7,31,21,4,213,31,summer,0,-0.7660444431189779,-0.6427876096865395,0.2172222222222222,0.2041808385104117,0.19066666666666665,0.1488875414532727,0.19066666666666665,0.1488875414532727,0.19066666666666665,0.1488875414532727,71.0,2.999999999999996,75.2,6.610597552415364,75.2,6.610597552415364,75.2,6.610597552415364,56.49666666666666,5.940406832308139,49.272,11.284745012626557,49.272,11.284745012626557,49.272,11.284745012626557,0.21999999999999997,0.15,,,,71.0,78.0,,,,54.73,43.3,,,,9.20624,12.658579999999999,,,,1017.9,1016.9,,,,Holiday Farm Fire 2020
2020-07-31 22:00:00-07:00,0.02416666666666666,0.08371578903249573,0.45,0.5518563713009523,,,,,12,,66.0,18.88888888888889,56.0,13.333333333333334,69.88,1018.7,7.0,8.05546,3.601108,220.0,0.0,0.0,10.0,16.0934,,2020,7,31,22,4,213,31,summer,0,-0.6427876096865393,-0.766044443118978,0.22138888888888886,0.19792032160367892,0.16291666666666665,0.14951379535012815,0.16291666666666665,0.14951379535012815,0.16291666666666665,0.14951379535012815,68.33333333333333,2.5166114784235765,73.66666666666667,7.004760286167306,73.66666666666667,7.004760286167306,73.66666666666667,7.004760286167306,62.57666666666666,7.5896003408172374,52.70666666666667,13.139938609699309,52.70666666666667,13.139938609699309,52.70666666666667,13.139938609699309,0.42,0.011666666666666667,,,,68.0,74.0,,,,63.12,51.64,,,,5.7539,11.5078,,,,1018.4,1017.5,,,,Holiday Farm Fire 2020
2020-07-31 23:00:00-07:00,0.0,0.0,0.5333333333333333,0.4271115105265163,,,,,12,,64.0,17.77777777777778,56.0,13.333333333333334,74.93,1018.7,6.0,6.904679999999999,3.086664,210.0,0.0,0.0,10.0,16.0934,,2020,7,31,23,4,213,31,summer,0,-0.5000000000000001,-0.8660254037844386,0.14805555555555555,0.2358205728781791,0.1376388888888889,0.16392276015336094,0.13964285714285712,0.1497342222125166,0.13964285714285712,0.1497342222125166,66.0,1.9999999999999893,70.16666666666667,5.2313159593611545,72.28571428571429,7.364651739090944,72.28571428571429,7.364651739090944,69.31,5.92559701633513,59.6,11.881466239484082,55.881428571428565,14.643614568099217,55.881428571428565,14.643614568099217,0.02416666666666666,0.21999999999999997,0.15166666666666664,,,66.0,71.0,85.0,,,69.88,54.73,33.57,,,8.05546,9.20624,12.658579999999999,,,1018.7,1017.9,1016.3,,,Holiday Farm Fire 2020
2020-08-01 00:00:00-07:00,0.0,0.0,0.5916666666666667,0.32601821849074447,,,,,12,,63.0,17.22222222222222,56.0,13.333333333333334,77.61,1018.8,5.0,5.7539,2.57222,210.0,0.0,0.0,10.0,16.0934,,2020,8,1,0,5,214,31,summer,1,-0.5000000000000001,-0.8660254037844386,0.008055555555555554,0.01395263150541543,0.11263888888888889,0.17285544431584915,0.12218749999999999,0.14715620244035474,0.12218749999999999,0.14715620244035474,64.33333333333333,1.5275252316519312,67.66666666666667,4.22689799577264,71.125,7.567552916422664,71.125,7.567552916422664,74.14,3.92508598631925,65.31833333333333,10.661334656911707,58.5975,15.582623793370432,58.5975,15.582623793370432,0.0,0.42,0.15,,,64.0,68.0,78.0,,,74.93,63.12,43.3,,,6.904679999999999,5.7539,12.658579999999999,,,1018.7,1018.4,1016.9,,,Holiday Farm Fire 2020
2020-08-01 01:00:00-07:00,0.0,0.0,0.4166666666666667,0.4239067936433311,,,,,12,,61.0,16.11111111111111,55.0,12.777777777777779,80.61,1018.9,5.0,5.7539,2.57222,200.0,0.0,0.0,10.0,16.0934,,2020,8,1,1,5,214,31,summer,1,-0.34202014332566866,-0.9396926207859084,0.0,0.0,0.11069444444444443,0.17427820723922574,0.1086111111111111,0.14355119102412367,0.1086111111111111,0.14355119102412367,62.666666666666664,1.5275252316519243,65.5,3.6193922141707864,70.0,7.842193570679063,70.0,7.842193570679063,77.71666666666667,2.8415019502602887,70.14666666666666,9.748658711159539,61.04333333333333,16.318847998556762,61.04333333333333,16.318847998556762,0.0,0.02416666666666666,0.011666666666666667,,,63.0,66.0,74.0,,,77.61,69.88,51.64,,,5.7539,8.05546,11.5078,,,1018.8,1018.7,1017.5,,,Holiday Farm Fire 2020
2020-08-01 02:00:00-07:00,0.011666666666666667,0.04041451884327381,0.3416666666666666,0.4832810839052219,,,,,12,,60.0,15.555555555555555,55.0,12.777777777777779,83.23,1018.9,6.0,6.904679999999999,3.086664,200.0,0.0,0.0,10.0,16.0934,2.1475,2020,8,1,2,5,214,31,summer,1,-0.34202014332566866,-0.9396926207859084,0.003888888888888889,0.006735753140544551,0.07597222222222222,0.16881319118634808,0.09891666666666665,0.13876997687353512,0.09891666666666665,0.13876997687353512,61.333333333333336,1.5275252316519243,63.666666666666664,3.0110906108363444,69.0,8.04155872120988,69.0,8.04155872120988,80.48333333333333,2.8121403473747635,74.89666666666666,7.39333122933545,63.262,16.90976627737816,63.262,16.90976627737816,0.0,0.0,0.21999999999999997,,,61.0,64.0,71.0,,,80.61,74.93,54.73,,,5.7539,6.904679999999999,9.20624,,,1018.9,1018.7,1017.9,,,Holiday Farm Fire 2020
